Label,X_rel_mm,Y_rel_mm
25,46.28704628704628,-48.40992340992341
16,67.2660672660673,8.200133200133223
12,50.61605061605064,46.82817182817183
8,24.309024309024323,64.47718947718948
Bone,-29.637029637029627,-59.065934065934044
Air,-69.26406926406924,5.2031302031302005
Water,-22.977022977022955,66.14219114219117
